regime,model,alpha,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,cov_mean,cov_std,width_mean,width_std,n
cluster_c0.20,svr,0.05,36.07832677948156,20.870934347972373,21.65011273854602,5.393171099854783,0.5350022929098873,0.28419028105407756,0.9473948521919406,0.043123066631542216,119.39034029941938,25.595546481997715,15
cluster_c0.20,svr,0.1,36.07832677948156,20.870934347972373,21.65011273854602,5.393171099854783,0.5350022929098873,0.28419028105407756,0.8863347384206988,0.05895735534042654,84.32765870276339,9.61214623273514,15
cluster_c0.20,svr,0.2,36.07832677948156,20.870934347972373,21.65011273854602,5.393171099854783,0.5350022929098873,0.28419028105407756,0.801377553562271,0.07294255646187256,60.80985414549921,6.820992219532269,15
cluster_c0.20,xgb,0.05,40.43529775765232,22.13966782469189,23.445982903834256,5.076512156014712,0.3847212241055221,0.3910075538298277,0.9467150153803646,0.04619735073950772,133.37761521793675,57.8756245442186,15
cluster_c0.20,xgb,0.1,40.43529775765232,22.13966782469189,23.445982903834256,5.076512156014712,0.3847212241055221,0.3910075538298277,0.8841870752382481,0.0745135447254061,92.23172289532944,21.263782500823744,15
cluster_c0.20,xgb,0.2,40.43529775765232,22.13966782469189,23.445982903834256,5.076512156014712,0.3847212241055221,0.3910075538298277,0.7786626177264497,0.10503410690372582,60.914996892387414,8.427965198830947,15
cluster_c0.30,svr,0.05,32.9377328762969,14.170983821145851,19.893963141972772,2.4124744882300875,0.6207064933486841,0.22739246926366324,0.9552845528455285,0.02674466652652602,118.27271518023053,19.477640240400866,15
cluster_c0.30,svr,0.1,32.9377328762969,14.170983821145851,19.893963141972772,2.4124744882300875,0.6207064933486841,0.22739246926366324,0.9105691056910569,0.048049104746661075,88.54665193242248,12.521410402743642,15
cluster_c0.30,svr,0.2,32.9377328762969,14.170983821145851,19.893963141972772,2.4124744882300875,0.6207064933486841,0.22739246926366324,0.816260162601626,0.07338335348657571,62.776162904344396,7.171063689007188,15
cluster_c0.30,xgb,0.05,38.05095281403339,16.052712216284526,21.658377643379616,2.843474962058239,0.46999972486022595,0.36166032594824676,0.9609756097560975,0.02533031549641232,119.96687655776363,24.285622334607194,15
cluster_c0.30,xgb,0.1,38.05095281403339,16.052712216284526,21.658377643379616,2.843474962058239,0.46999972486022595,0.36166032594824676,0.9056910569105692,0.055016601453667956,86.4785304102616,10.936138837696152,15
cluster_c0.30,xgb,0.2,38.05095281403339,16.052712216284526,21.658377643379616,2.843474962058239,0.46999972486022595,0.36166032594824676,0.802439024390244,0.08401115232292465,61.33199616483195,7.16172641839513,15
cluster_c0.40,svr,0.05,33.05566612110327,13.695229597021605,20.44379138830177,3.342951885286992,0.6246203351780256,0.19454329124054237,0.9471544715447154,0.02828887795312103,115.85925413654009,19.223248755852858,15
cluster_c0.40,svr,0.1,33.05566612110327,13.695229597021605,20.44379138830177,3.342951885286992,0.6246203351780256,0.19454329124054237,0.8975609756097561,0.036235258605074074,87.28270199586011,12.969194864202809,15
cluster_c0.40,svr,0.2,33.05566612110327,13.695229597021605,20.44379138830177,3.342951885286992,0.6246203351780256,0.19454329124054237,0.7796747967479675,0.05080023068152738,58.04614628531931,5.592491914527223,15
cluster_c0.40,xgb,0.05,34.661729029505665,14.563939796095974,21.024158115088305,3.3150690707036983,0.57340472427772,0.24669778820868415,0.9560975609756098,0.026797573930416364,122.48825138939286,26.352051064254148,15
cluster_c0.40,xgb,0.1,34.661729029505665,14.563939796095974,21.024158115088305,3.3150690707036983,0.57340472427772,0.24669778820868415,0.9,0.04590848527386926,84.373318424104,11.093307572870101,15
cluster_c0.40,xgb,0.2,34.661729029505665,14.563939796095974,21.024158115088305,3.3150690707036983,0.57340472427772,0.24669778820868415,0.7707317073170732,0.09289815464748642,58.761896871705645,8.37952598235089,15
scaffold,svr,0.05,32.3549281507052,13.390108252814326,21.978131092680087,5.345004979905233,0.5226446076274734,0.2121733812370738,0.9426120857699805,0.07532131996303135,118.42237755452528,18.954904649383693,15
scaffold,svr,0.1,32.3549281507052,13.390108252814326,21.978131092680087,5.345004979905233,0.5226446076274734,0.2121733812370738,0.8885341130604288,0.06730147515373325,90.82140375471708,13.443463072753435,15
scaffold,svr,0.2,32.3549281507052,13.390108252814326,21.978131092680087,5.345004979905233,0.5226446076274734,0.2121733812370738,0.7508810916179338,0.08983227476483693,61.436896258398406,9.399358274937091,15
scaffold,xgb,0.05,34.904221693973426,16.921362751863896,21.20626332006169,4.095821262596999,0.3665741635774103,0.6091973055076015,0.9518791423001949,0.05559587265234207,116.50948892874939,20.99662986520477,15
scaffold,xgb,0.1,34.904221693973426,16.921362751863896,21.20626332006169,4.095821262596999,0.3665741635774103,0.6091973055076015,0.8968615984405458,0.064982713963825,89.07475651454361,13.630287989724055,15
scaffold,xgb,0.2,34.904221693973426,16.921362751863896,21.20626332006169,4.095821262596999,0.3665741635774103,0.6091973055076015,0.7917803768680962,0.08097567705157645,61.22051410256714,7.299815693387087,15
stratified,svr,0.05,32.77398432438413,14.881685209699016,19.43668298405711,2.904474198255512,0.6350376155041304,0.22384325463976623,0.9552845528455284,0.027910835866894128,115.04492111953871,18.485717298411558,15
stratified,svr,0.1,32.77398432438413,14.881685209699016,19.43668298405711,2.904474198255512,0.6350376155041304,0.22384325463976623,0.9170731707317074,0.030644198177763076,89.27323746140122,11.611391246562466,15
stratified,svr,0.2,32.77398432438413,14.881685209699016,19.43668298405711,2.904474198255512,0.6350376155041304,0.22384325463976623,0.8186991869918699,0.06147300037707998,60.975794513939974,9.286573112940122,15
stratified,xgb,0.05,35.36761148036074,15.58858982956743,20.567308893362856,1.899017470994938,0.5628777970707161,0.28365256355540536,0.9520325203252032,0.04479983590074635,117.54552259679521,21.025099821931764,15
stratified,xgb,0.1,35.36761148036074,15.58858982956743,20.567308893362856,1.899017470994938,0.5628777970707161,0.28365256355540536,0.9178861788617886,0.043598119356738706,90.96433540276627,13.93411074873988,15
stratified,xgb,0.2,35.36761148036074,15.58858982956743,20.567308893362856,1.899017470994938,0.5628777970707161,0.28365256355540536,0.816260162601626,0.05540142732482159,62.09273766193253,4.347857383484323,15
